date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:46	28605/28605	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa7d-6fbd-4c7abeaa72440%22	http://www.memobio.fr/html/immu/im_in_pii.html	www.memobio.fr/im_in_pii.html	(from http://www.memobio.fr/html/immu/im_infl.html)
09:24:46	18959/18959	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa7f-4a0f-4c7abea97e200%22	http://www.memobio.fr/html/immu/im_in_ese.html	www.memobio.fr/im_in_ese.html	(from http://www.memobio.fr/html/immu/im_infl.html)
09:24:46	18072/18072	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa80-4698-4c7abea97e200%22	http://www.memobio.fr/html/immu/im_in_bil.html	www.memobio.fr/im_in_bil.html	(from http://www.memobio.fr/html/immu/im_infl.html)
09:24:46	23883/23883	U-----	200	untouched ('OK')	text/html	etag:%22c1c1aa7e-5d4b-4c7abeaa72440%22	http://www.memobio.fr/html/immu/im_in_et.html	www.memobio.fr/im_in_et.html	(from http://www.memobio.fr/html/immu/im_infl.html)
09:24:46	8410/8410	U-----	200	untouched ('OK')	text/css	etag:%224537dbfd-20da-4b263b81912c0%22	http://www.memobio.fr/css/bact.css	www.memobio.fr/images/bact.css	(from http://www.memobio.fr/html/bact/ba_acc.html)
09:24:47	850002/850002	U-----	200	untouched ('')	application/pdf	etag:%228a56ccfefcc81:142c%22	http://www.invs.sante.fr/beh/2007/31_32/beh_31_32_2007.pdf	www.memobio.fr/images/beh_31_32_2007.pdf	(from http://www.memobio.fr/html/bact/ba_acc.html)
09:24:47	22878/22878	U-----	200	untouched ('OK')	text/html	etag:%22420dc5fe-595e-4c7abe13c40c0%22	http://www.memobio.fr/html/bact/ba_ba_cgp.html	www.memobio.fr/ba_ba_cgp.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:47	27161/27161	U-----	200	untouched ('OK')	text/html	etag:%22420dc5dd-6a19-4c7abe17949c0%22	http://www.memobio.fr/html/bact/ba_ba_sau.html	www.memobio.fr/ba_ba_sau.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:47	26044/26044	U-----	200	untouched ('OK')	text/html	etag:%22420dc5df-65bc-4c7abe1888c00%22	http://www.memobio.fr/html/bact/ba_ba_spy.html	www.memobio.fr/ba_ba_spy.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:47	26382/26382	U-----	200	untouched ('OK')	text/html	etag:%22420dc5dc-670e-4c7abe17949c0%22	http://www.memobio.fr/html/bact/ba_ba_sag.html	www.memobio.fr/ba_ba_sag.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:47	26229/26229	U-----	200	untouched ('OK')	text/html	etag:%22420dc5de-6675-4c7abe17949c0%22	http://www.memobio.fr/html/bact/ba_ba_spn.html	www.memobio.fr/ba_ba_spn.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
